system,method,rep,tag,x,occupancy,xlabel
AdK,MOAS,1,adk_s1_static,0.0,0.007188541768468146,window margin (deg)
AdK,MOAS,1,adk_s1_static,4.0,0.194774733687331,window margin (deg)
AdK,MOAS,1,adk_s1_static,8.0,0.32906581533483187,window margin (deg)
AdK,MOAS,2,adk_s2_static,-8.0,0.0,window margin (deg)
AdK,MOAS,2,adk_s2_static,-4.0,0.038342509039971336,window margin (deg)
AdK,MOAS,2,adk_s2_static,0.0,0.2782899523297608,window margin (deg)
AdK,MOAS,2,adk_s2_static,4.0,0.4021457037061168,window margin (deg)
AdK,MOAS,2,adk_s2_static,8.0,0.5317457732025931,window margin (deg)
MBP,Random,0,mbp_random,-2.0,0.0,window expansion
MBP,Random,0,mbp_random,-1.0,0.0,window expansion
MBP,Random,0,mbp_random,0.0,0.0,window expansion
MBP,Random,0,mbp_random,1.0,5.25791062765297e-05,window expansion
MBP,Random,0,mbp_random,2.0,0.0009160898132026136,window expansion
MBP,Random,1,mbp_s1_random,-2.0,0.0,window expansion
MBP,Random,1,mbp_s1_random,-1.0,0.0,window expansion
MBP,Random,1,mbp_s1_random,0.0,0.0,window expansion
MBP,Random,1,mbp_s1_random,1.0,0.0,window expansion
MBP,Random,1,mbp_s1_random,2.0,0.0,window expansion
MBP,Random,2,mbp_s2_random,-2.0,0.0,window expansion
MBP,Random,2,mbp_s2_random,-1.0,0.0,window expansion
MBP,Random,2,mbp_s2_random,0.0,9.504684596141906e-05,window expansion
MBP,Random,2,mbp_s2_random,1.0,0.001176963071266934,window expansion
MBP,Random,2,mbp_s2_random,2.0,0.005803924423601547,window expansion
MBP,LAST,0,mbp_last,-2.0,0.05447195410248477,window expansion
MBP,LAST,0,mbp_last,-1.0,0.15447943651376259,window expansion
MBP,LAST,0,mbp_last,0.0,0.26011288329662907,window expansion
MBP,LAST,0,mbp_last,1.0,0.3333899569862465,window expansion
MBP,LAST,0,mbp_last,2.0,0.39119057297069926,window expansion
MBP,LAST,1,mbp_s1_last,-2.0,0.0,window expansion
MBP,LAST,1,mbp_s1_last,-1.0,0.0,window expansion
MBP,LAST,1,mbp_s1_last,0.0,0.0,window expansion
MBP,LAST,1,mbp_s1_last,1.0,0.0,window expansion
MBP,LAST,1,mbp_s1_last,2.0,0.0,window expansion
MBP,LAST,2,mbp_s2_last,-2.0,0.0,window expansion
MBP,LAST,2,mbp_s2_last,-1.0,6.066819954984196e-06,window expansion
MBP,LAST,2,mbp_s2_last,0.0,0.00018604914528618202,window expansion
MBP,LAST,2,mbp_s2_last,1.0,0.002258879296572449,window expansion
MBP,LAST,2,mbp_s2_last,2.0,0.01664937622979496,window expansion
MBP,Least-counts,0,mbp_lc,-2.0,0.0,window expansion
MBP,Least-counts,0,mbp_lc,-1.0,1.2133639909968392e-05,window expansion
MBP,Least-counts,0,mbp_lc,0.0,0.0003377196441607869,window expansion
MBP,Least-counts,0,mbp_lc,1.0,0.005951550375839497,window expansion
MBP,Least-counts,0,mbp_lc,2.0,0.03951926518676705,window expansion
MBP,Least-counts,1,mbp_s1_lc,-2.0,7.280183945981035e-05,window expansion
MBP,Least-counts,1,mbp_s1_lc,-1.0,0.001363012216553116,window expansion
